행정기관코드,기준연월,시도명,시군구명,읍면동명,전체 평균연령,남자 평균연령,여자 평균연령
1111051500,2022-02-28,서울특별시,종로구,청운효자동,44.1,42.5,45.5
1111053000,2022-02-28,서울특별시,종로구,사직동,45.3,45,45.6
1111054000,2022-02-28,서울특별시,종로구,삼청동,48.4,47.1,49.7
1111055000,2022-02-28,서울특별시,종로구,부암동,45.5,44.1,46.7
1111056000,2022-02-28,서울특별시,종로구,평창동,45.2,44,46.3
1111057000,2022-02-28,서울특별시,종로구,무악동,43.5,43.4,43.5
1111058000,2022-02-28,서울특별시,종로구,교남동,43.1,42.3,43.7
1111060000,2022-02-28,서울특별시,종로구,가회동,47.1,45.6,48.3
1111061500,2022-02-28,서울특별시,종로구,종로1.2.3.4가동,50.9,51.6,49.9
1111063000,2022-02-28,서울특별시,종로구,종로5.6가동,46.8,47.2,46.4
1111064000,2022-02-28,서울특별시,종로구,이화동,44.7,43.9,45.3
1111065000,2022-02-28,서울특별시,종로구,혜화동,42.1,41,43.1
1111067000,2022-02-28,서울특별시,종로구,창신제1동,50.8,50.1,51.5
1111068000,2022-02-28,서울특별시,종로구,창신제2동,49.1,47.8,50.4
1111069000,2022-02-28,서울특별시,종로구,창신제3동,45.7,44.6,46.8
1111070000,2022-02-28,서울특별시,종로구,숭인제1동,47.3,46.3,48.2
1111071000,2022-02-28,서울특별시,종로구,숭인제2동,44.8,45.8,43.8
1114052000,2022-02-28,서울특별시,중구,소공동,41.5,42.8,40.3
1114054000,2022-02-28,서울특별시,중구,회현동,51.1,51.6,50.6
1114055000,2022-02-28,서울특별시,중구,명동,49.5,47.3,51.2
1114057000,2022-02-28,서울특별시,중구,필동,46.3,45.6,47.1
1114058000,2022-02-28,서울특별시,중구,장충동,43.2,42.1,44.4
1114059000,2022-02-28,서울특별시,중구,광희동,46.7,47.3,46.1
1114060500,2022-02-28,서울특별시,중구,을지로동,50.3,51.7,48.2
1114061500,2022-02-28,서울특별시,중구,신당동,46.2,46.6,45.7
1114062500,2022-02-28,서울특별시,중구,다산동,46.2,45,47.3
1114063500,2022-02-28,서울특별시,중구,약수동,47.5,46.2,48.5
1114064500,2022-02-28,서울특별시,중구,청구동,46.3,44.9,47.5
1114065000,2022-02-28,서울특별시,중구,신당제5동,45.1,44.6,45.5
1114066500,2022-02-28,서울특별시,중구,동화동,45.5,44.3,46.6
1114067000,2022-02-28,서울특별시,중구,황학동,43.3,43.1,43.4
1114068000,2022-02-28,서울특별시,중구,중림동,44.1,43.5,44.6
1117051000,2022-02-28,서울특별시,용산구,후암동,44.8,43.2,46.4
1117052000,2022-02-28,서울특별시,용산구,용산2가동,46.8,45,48.5
1117053000,2022-02-28,서울특별시,용산구,남영동,49.4,50.6,47.5
1117055500,2022-02-28,서울특별시,용산구,청파동,44,43.8,44.3
1117056000,2022-02-28,서울특별시,용산구,원효로제1동,40.9,40.9,41
1117057000,2022-02-28,서울특별시,용산구,원효로제2동,43.9,43.6,44.2
1117058000,2022-02-28,서울특별시,용산구,효창동,42.4,41.4,43.3
1117059000,2022-02-28,서울특별시,용산구,용문동,44.6,43.6,45.6
1117062500,2022-02-28,서울특별시,용산구,한강로동,43,42.9,43.1
1117063000,2022-02-28,서울특별시,용산구,이촌제1동,42.9,41.6,44.1
1117064000,2022-02-28,서울특별시,용산구,이촌제2동,46.8,45.2,48.2
1117065000,2022-02-28,서울특별시,용산구,이태원제1동,47.2,45.5,48.8
1117066000,2022-02-28,서울특별시,용산구,이태원제2동,45.9,44.6,47
1117068500,2022-02-28,서울특별시,용산구,한남동,45.2,44.1,46.3
1117069000,2022-02-28,서울특별시,용산구,서빙고동,43.6,42.6,44.6
1117070000,2022-02-28,서울특별시,용산구,보광동,47,44.7,49.3
1120052000,2022-02-28,서울특별시,성동구,왕십리제2동,43.1,42.4,43.8
1120053500,2022-02-28,서울특별시,성동구,왕십리도선동,42.2,41.6,42.8
1120054000,2022-02-28,서울특별시,성동구,마장동,44,43.2,44.8
1120055000,2022-02-28,서울특별시,성동구,사근동,38.3,37.2,39.6
1120056000,2022-02-28,서울특별시,성동구,행당제1동,42.9,42.5,43.3
1120057000,2022-02-28,서울특별시,성동구,행당제2동,43.5,42.8,44.1
1120058000,2022-02-28,서울특별시,성동구,응봉동,43.2,41.9,44.3
1120059000,2022-02-28,서울특별시,성동구,금호1가동,44.1,42.9,45.1
1120061500,2022-02-28,서울특별시,성동구,금호2.3가동,44.1,42.9,45.3
1120062000,2022-02-28,서울특별시,성동구,금호4가동,43.5,42.3,44.7
1120064500,2022-02-28,서울특별시,성동구,옥수동,42.9,42.1,43.6
1120065000,2022-02-28,서울특별시,성동구,성수1가제1동,43.4,42.6,44.1
1120066000,2022-02-28,서울특별시,성동구,성수1가제2동,43.5,43,44
1120067000,2022-02-28,서울특별시,성동구,성수2가제1동,46.4,45.9,46.9
1120069000,2022-02-28,서울특별시,성동구,성수2가제3동,44.8,44.7,44.8
1120072000,2022-02-28,서울특별시,성동구,송정동,45.6,45,46.2
1120079000,2022-02-28,서울특별시,성동구,용답동,45.8,46.2,45.5
1121571000,2022-02-28,서울특별시,광진구,화양동,37.1,37.9,36.5
1121573000,2022-02-28,서울특별시,광진구,군자동,42.8,42.2,43.4
1121574000,2022-02-28,서울특별시,광진구,중곡제1동,44.1,43.9,44.3
1121575000,2022-02-28,서울특별시,광진구,중곡제2동,43.6,43.2,44
1121576000,2022-02-28,서울특별시,광진구,중곡제3동,45.5,44.6,46.5
1121577000,2022-02-28,서울특별시,광진구,중곡제4동,45.8,44.8,46.8
1121578000,2022-02-28,서울특별시,광진구,능동,42.3,41.9,42.7
1121581000,2022-02-28,서울특별시,광진구,광장동,39.6,39,40.2
1121582000,2022-02-28,서울특별시,광진구,자양제1동,43.7,42.8,44.5
1121583000,2022-02-28,서울특별시,광진구,자양제2동,44.1,43.3,44.8
1121584000,2022-02-28,서울특별시,광진구,자양제3동,42.7,42.1,43.3
1121584700,2022-02-28,서울특별시,광진구,자양제4동,46.7,45.9,47.5
1121585000,2022-02-28,서울특별시,광진구,구의제1동,42.5,42.1,42.9
1121586000,2022-02-28,서울특별시,광진구,구의제2동,43.8,42.8,44.8
1121587000,2022-02-28,서울특별시,광진구,구의제3동,42.7,42.2,43.1
1123053600,2022-02-28,서울특별시,동대문구,용신동,44.4,44.4,44.4
1123054500,2022-02-28,서울특별시,동대문구,제기동,47,45.6,48.4
1123056000,2022-02-28,서울특별시,동대문구,전농제1동,45.2,44.4,46
1123057000,2022-02-28,서울특별시,동대문구,전농제2동,45.7,44.7,46.6
1123060000,2022-02-28,서울특별시,동대문구,답십리제1동,41.7,41.2,42.1
1123061000,2022-02-28,서울특별시,동대문구,답십리제2동,45.7,44.6,46.6
1123065000,2022-02-28,서울특별시,동대문구,장안제1동,44.2,43.7,44.6
1123066000,2022-02-28,서울특별시,동대문구,장안제2동,42.8,41.8,43.8
1123070500,2022-02-28,서울특별시,동대문구,청량리동,50.6,49.1,52.1
1123071000,2022-02-28,서울특별시,동대문구,회기동,40.2,39.6,40.9
1123072000,2022-02-28,서울특별시,동대문구,휘경제1동,41.2,41.3,41.1
1123073000,2022-02-28,서울특별시,동대문구,휘경제2동,42.4,41.3,43.5
1123074000,2022-02-28,서울특별시,동대문구,이문제1동,42.8,42.1,43.6
1123075000,2022-02-28,서울특별시,동대문구,이문제2동,45.1,44.3,45.9
1126052000,2022-02-28,서울특별시,중랑구,면목제2동,46.6,45.8,47.4
1126054000,2022-02-28,서울특별시,중랑구,면목제4동,46.3,45,47.6
1126055000,2022-02-28,서울특별시,중랑구,면목제5동,42.8,42.2,43.3
1126056500,2022-02-28,서울특별시,중랑구,면목본동,46,45.1,46.8
1126057000,2022-02-28,서울특별시,중랑구,면목제7동,46.4,45.5,47.3
1126057500,2022-02-28,서울특별시,중랑구,면목제3.8동,47,46,48
1126058000,2022-02-28,서울특별시,중랑구,상봉제1동,43.8,42.7,44.7
1126059000,2022-02-28,서울특별시,중랑구,상봉제2동,43.4,43.5,43.2
1126060000,2022-02-28,서울특별시,중랑구,중화제1동,45.2,44.5,46
1126061000,2022-02-28,서울특별시,중랑구,중화제2동,47.3,46.6,48.1
1126062000,2022-02-28,서울특별시,중랑구,묵제1동,44,43.3,44.6
1126063000,2022-02-28,서울특별시,중랑구,묵제2동,45.8,45,46.6
1126065500,2022-02-28,서울특별시,중랑구,망우본동,45.1,44.4,45.7
1126066000,2022-02-28,서울특별시,중랑구,망우제3동,47.6,46.9,48.3
1126068000,2022-02-28,서울특별시,중랑구,신내1동,44,42.9,45.1
1126069000,2022-02-28,서울특별시,중랑구,신내2동,46,44.6,47.3
1129052500,2022-02-28,서울특별시,성북구,성북동,45.1,44.2,45.9
1129055500,2022-02-28,서울특별시,성북구,삼선동,44,43.3,44.7
1129057500,2022-02-28,서울특별시,성북구,동선동,41,42.3,40.1
1129058000,2022-02-28,서울특별시,성북구,돈암제1동,45.7,44.9,46.4
1129059000,2022-02-28,서울특별시,성북구,돈암제2동,42.4,41.4,43.2
1129060000,2022-02-28,서울특별시,성북구,안암동,40.3,39,41.7
1129061000,2022-02-28,서울특별시,성북구,보문동,43.4,42.5,44.1
1129062000,2022-02-28,서울특별시,성북구,정릉제1동,43.4,42.2,44.4
1129063000,2022-02-28,서울특별시,성북구,정릉제2동,45.1,43.8,46.3
1129064000,2022-02-28,서울특별시,성북구,정릉제3동,46,43.6,48.2
1129065000,2022-02-28,서울특별시,성북구,정릉제4동,45.3,44,46.6
1129066000,2022-02-28,서울특별시,성북구,길음제1동,40.1,39.2,40.9
1129068500,2022-02-28,서울특별시,성북구,길음제2동,41.6,40.7,42.4
1129070500,2022-02-28,서울특별시,성북구,종암동,44,42.5,45.4
1129071500,2022-02-28,서울특별시,성북구,월곡제1동,44.1,43.5,44.6
1129072500,2022-02-28,서울특별시,성북구,월곡제2동,44.4,43.8,44.8
